period,apps,day,hour,activity_time,statistic,category
2018.2,iTaxi,Fridays-Sundays,day (8-18),0.571666666666667,Std.Dev.,Transportation
2019.1,iTaxi,Fridays-Sundays,day (8-18),0.830555555555556,Std.Dev.,Transportation
2019.2,iTaxi,Fridays-Sundays,day (8-18),1.02361111111111,Std.Dev.,Transportation
2020.1,iTaxi,Fridays-Sundays,day (8-18),1.09777777777778,Std.Dev.,Transportation
2020.2,iTaxi,Fridays-Sundays,day (8-18),1.07444444444444,Std.Dev.,Transportation
2019.2,Glover,Fridays-Sundays,day (8-18),0.923055555555555,Std.Dev.,Delivery
2020.1,Glover,Fridays-Sundays,day (8-18),1.09555555555556,Std.Dev.,Delivery
2020.2,Glover,Fridays-Sundays,day (8-18),1.03833333333333,Std.Dev.,Delivery
2018.1,Takeaway,Fridays-Sundays,day (8-18),0.5975,Std.Dev.,Delivery
2018.2,Takeaway,Fridays-Sundays,day (8-18),0.69,Std.Dev.,Delivery
2019.1,Takeaway,Fridays-Sundays,day (8-18),0.606388888888889,Std.Dev.,Delivery
2019.2,Takeaway,Fridays-Sundays,day (8-18),0.778055555555556,Std.Dev.,Delivery
2020.1,Takeaway,Fridays-Sundays,day (8-18),0.566944444444444,Std.Dev.,Delivery
2020.2,Takeaway,Fridays-Sundays,day (8-18),0.76,Std.Dev.,Delivery
2020.1,Bolt Courier,Fridays-Sundays,day (8-18),0.756944444444445,Std.Dev.,Delivery
2020.2,Bolt Courier,Fridays-Sundays,day (8-18),0.881388888888889,Std.Dev.,Delivery
2018.1,Wolt,Fridays-Sundays,day (8-18),0.812222222222222,Std.Dev.,Delivery
2018.2,Wolt,Fridays-Sundays,day (8-18),1.06027777777778,Std.Dev.,Delivery
2019.1,Wolt,Fridays-Sundays,day (8-18),0.693333333333333,Std.Dev.,Delivery
2019.2,Wolt,Fridays-Sundays,day (8-18),0.866111111111111,Std.Dev.,Delivery
2020.1,Wolt,Fridays-Sundays,day (8-18),0.919722222222222,Std.Dev.,Delivery
2020.2,Wolt,Fridays-Sundays,day (8-18),1.04583333333333,Std.Dev.,Delivery
2018.1,Uber,Fridays-Sundays,night (18-8),1.59583333333333,Std.Dev.,Transportation
2018.2,Uber,Fridays-Sundays,night (18-8),1.55333333333333,Std.Dev.,Transportation
2019.1,Uber,Fridays-Sundays,night (18-8),1.62222222222222,Std.Dev.,Transportation
2019.2,Uber,Fridays-Sundays,night (18-8),1.90722222222222,Std.Dev.,Transportation
2020.1,Uber,Fridays-Sundays,night (18-8),1.88527777777778,Std.Dev.,Transportation
2020.2,Uber,Fridays-Sundays,night (18-8),1.92861111111111,Std.Dev.,Transportation
2018.1,Bolt Driver,Fridays-Sundays,night (18-8),1.66611111111111,Std.Dev.,Transportation
2018.2,Bolt Driver,Fridays-Sundays,night (18-8),1.61972222222222,Std.Dev.,Transportation
2019.1,Bolt Driver,Fridays-Sundays,night (18-8),1.81555555555556,Std.Dev.,Transportation
2019.2,Bolt Driver,Fridays-Sundays,night (18-8),1.76861111111111,Std.Dev.,Transportation
2020.1,Bolt Driver,Fridays-Sundays,night (18-8),1.71444444444444,Std.Dev.,Transportation
2020.2,Bolt Driver,Fridays-Sundays,night (18-8),1.75583333333333,Std.Dev.,Transportation
2018.1,FREE NOW,Fridays-Sundays,night (18-8),1.22527777777778,Std.Dev.,Transportation
2018.2,FREE NOW,Fridays-Sundays,night (18-8),1.1775,Std.Dev.,Transportation
2019.1,FREE NOW,Fridays-Sundays,night (18-8),1.2675,Std.Dev.,Transportation
2019.2,FREE NOW,Fridays-Sundays,night (18-8),1.2575,Std.Dev.,Transportation
2020.1,FREE NOW,Fridays-Sundays,night (18-8),1.29694444444444,Std.Dev.,Transportation
2020.2,FREE NOW,Fridays-Sundays,night (18-8),1.57166666666667,Std.Dev.,Transportation
2018.1,iTaxi,Fridays-Sundays,night (18-8),1.435,Std.Dev.,Transportation
